"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AC004381.3",0.153393903316663,-2.29216151389787,0.988507606860466,0.323301103287047,0.355464167199717,-7.29253062207716,"stable"
"AHSP",0.212750354759426,-4.16111575962845,0.815030709981982,0.415376932344714,0.448659964952926,-7.29256230233787,"stable"
"ZNF708",0.0936797752531513,2.881049584581,1.38587385068468,0.166298394312081,0.19044902393198,-7.29259241707023,"stable"
"AC010615.1",-0.107535986572332,-0.569848001329129,-1.10823106089339,0.26820444565859,0.298472485659657,-7.29272533204563,"stable"
"INPP4B",0.189727436820308,5.18330594169777,1.58867503485371,0.112658617304619,0.131691278160677,-7.29288204855157,"stable"
"SP6",-0.16391426505979,1.09552804072425,-1.23095237611273,0.218821210039261,0.246669509504842,-7.29318428137591,"stable"
"AL133467.1",0.15187367194254,-3.6000223052085,0.872869903345011,0.383081889282073,0.416427797098356,-7.29369097157325,"stable"
"AC092171.3",0.146951331944348,0.562684342884649,1.16883905525227,0.242930940996366,0.272006363901886,-7.29404269922511,"stable"
"VPS9D1",0.126291520635129,3.91519099801205,1.4889334537007,0.13702836875369,0.158622080261806,-7.29412709953456,"stable"
"JDP2",0.133448683460026,4.54126310147748,1.54540052561182,0.122774723662542,0.142874821651045,-7.29565550224937,"stable"
"ZFPM1",0.127920697382485,2.07329224535294,1.29576845052016,0.195551686915255,0.222006682879782,-7.29568689022847,"stable"
"GRK4",-0.0701531771409165,1.94364569261709,-1.29958275144541,0.194241264968631,0.220575019962684,-7.29569130623477,"stable"
"CUX1",-0.0864509712765686,7.43665480336815,-1.67193233420636,0.0950571173629871,0.112054140722638,-7.29645247796509,"stable"
"CCDC93",-0.0862239934664224,5.36604435780768,-1.6070296745899,0.108572011630236,0.1271137843688,-7.29667253712386,"stable"
"MTCO1P40",-0.294864094378745,0.958468280876017,-1.22400938961971,0.221427332163802,0.249449984452767,-7.29700061900535,"stable"
"RPL13AP3",0.136992423635667,-2.32383408700665,0.978667535240815,0.328137256757755,0.360352903059141,-7.2973166175347,"stable"
"TMEM255A",0.336579778921682,1.90337086468396,1.26877273437181,0.205012320902894,0.232078967618679,-7.29766039837984,"stable"
"AC026780.1",0.195634321013237,-3.93777803746129,0.835635712366852,0.403691282457566,0.436935680011798,-7.29774500672997,"stable"
"AL133338.1",-0.0955448232310679,0.519248248543344,-1.17622791818643,0.239968557596445,0.268936505863396,-7.29796431341749,"stable"
"SOX17",0.183726049487817,2.6926422885002,1.35010672521771,0.177488948514955,0.202443258926404,-7.29809794523489,"stable"
"AP000944.5",0.141490892983658,-2.35610298870783,0.974993759445832,0.329954826606009,0.362198235819078,-7.29889559220283,"stable"
"AC024588.1",0.153675159935395,-2.04956201062664,0.999073958218458,0.318160126359729,0.350298244946849,-7.29926524013212,"stable"
"CATSPERB",0.163907120945288,-1.23567751387362,1.05077299604656,0.293784328217198,0.325130862597908,-7.29962842964837,"stable"
"UNC79",-0.157527481918967,0.618259086423995,-1.18844144812649,0.23512798317193,0.263743106924059,-7.29966016400032,"stable"
"ACTBP11",-0.136135339242596,-3.15826071241115,-0.92369396555963,0.35601561988027,0.389119514093587,-7.30016152991641,"stable"
"GAPDHP27",0.132563588441831,-4.11250458926429,0.818502208429756,0.413394237412786,0.446683053272828,-7.30067686761415,"stable"
"AC015802.3",-0.128859353012402,-2.11694150339045,-1.00735113741925,0.314170637238792,0.346206203018639,-7.30074338017361,"stable"
"C14orf180",0.366048470221076,-1.76127943443593,1.00790577194287,0.313904495095674,0.345927140259154,-7.30115955270835,"stable"
"OTUD7A",0.173594785773989,2.46873778078179,1.33033921750686,0.183910083379875,0.209366387380317,-7.30127018703926,"stable"
"LINC00327",0.145541424778246,-2.6657325007525,0.947413145129068,0.343808297501821,0.376498450931989,-7.30135726863567,"stable"
"TRAPPC12-AS1",-0.108551367909141,-0.135354111681568,-1.12740300885991,0.260021117055259,0.289858896993415,-7.30156967608964,"stable"
"GLS2",-0.113020599678962,-2.41114468325889,-0.983243478755175,0.325882470396804,0.358082078450847,-7.30255022035743,"stable"
"AC005046.1",0.145976599627109,-1.31417635350336,1.0446305393127,0.296612888955461,0.328166409947752,-7.30292193169525,"stable"
"ZBTB22",-0.0779378355068401,4.8279541862704,-1.5718501945569,0.116510512146868,0.135956819936537,-7.30372402835608,"stable"
"PUSL1",0.127503506732709,1.93721083648278,1.27630817473068,0.202338585219577,0.229226439637778,-7.30416739310536,"stable"
"ITIH5",-0.265364242205832,6.77373607088918,-1.65474000170305,0.0984982864066577,0.115916958044828,-7.30463196639209,"stable"
"SLC8A3",-0.203243649641383,-2.21092730482443,-0.998724925260438,0.318329083473785,0.350457394518318,-7.30632450542157,"stable"
"ABCB7",0.0778534572647267,4.93713923016445,1.569383085916,0.117083952026911,0.136590302473373,-7.30670410156473,"stable"
"EMC6",-0.11899897421062,-1.54248404543145,-1.03780846628018,0.29977574704678,0.33140590153046,-7.30775088143996,"stable"
"AL353135.2",-0.114448149431239,-0.664639737515149,-1.08887642067072,0.276643933740875,0.307303192255058,-7.30794420330037,"stable"
"NXN",-0.186120683649857,4.28679084900838,-1.53425125278859,0.125493021811819,0.145873532507521,-7.30827665811693,"stable"
"EPRS1",-0.0987376943097766,7.13767443236974,-1.65771341492418,0.0978961051985862,0.115243693913966,-7.30927915746985,"stable"
"AL161756.1",-0.114290690846341,-2.74219949839967,-0.947905591272824,0.343557727361912,0.376239422702593,-7.31001074763231,"stable"
"AC105383.1",0.219120150556363,-2.72192505743492,0.92809195839241,0.353731692910627,0.386749343486512,-7.31074050738923,"stable"
"MAPK8IP1P2",0.264555070735715,-4.09743481324092,0.795355722748837,0.426719972321066,0.460151862044418,-7.31236541937367,"stable"
"SNHG21",-0.102517302505397,-1.91330766377966,-1.00945701390555,0.313160919215357,0.345178646084364,-7.31239648576153,"stable"
"AL161669.2",0.145134506877774,-4.69613988847813,0.737289524657289,0.461233455897875,0.494901209361846,-7.31394580321022,"stable"
"TCHP",0.0828452134217352,4.22039443863648,1.5087989293429,0.131874613208521,0.152946713787822,-7.31398776069221,"stable"
"AC022018.1",0.137092312420349,-3.62781089438471,0.846229431012705,0.397760890817857,0.431038921857909,-7.31407790556963,"stable"
"AC026436.1",0.140846214300286,-2.22960257289504,0.968940400116245,0.332963902969718,0.365294331454809,-7.31419260462785,"stable"
"GFI1B",0.132258842035676,-2.87645741926537,0.915960191728701,0.360054405581359,0.393149204742309,-7.3142283191851,"stable"
"ERVK-28",0.235815001334885,-3.41410425331665,0.862978624743597,0.388492759883509,0.421779554502618,-7.31469612297101,"stable"
"AL391988.1",-0.097325067665787,0.434567638940109,-1.15493167828147,0.248576463859772,0.277886597273524,-7.31609467937922,"stable"
"AC005070.3",0.0792511489980511,-0.532421506989183,1.07978907668341,0.280668374468124,0.311528417628719,-7.31678768505973,"stable"
