"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"SCD5",-2.49867251997898,4.75571516730231,-10.7943024108749,4.35656793656956e-20,2.89345358904495e-19,34.2376386196319,"down"
"LRRC77P",3.12516219827142,-2.128309400476,10.6655223377891,9.32283379602126e-20,6.02902268213772e-19,34.2371986620367,"up"
"NAPSA",-3.10070903949441,4.77068433132918,-10.789550233488,4.48066072169483e-20,2.97128560570017e-19,34.2234899019224,"down"
"COLEC11",-2.2666533594691,3.43113118143192,-10.7719681173317,4.97127005538677e-20,3.28523662201471e-19,34.1965360614857,"down"
"NCF1",2.08912211637881,1.86573231718319,10.7089857654658,7.21223985627013e-20,4.71011794862254e-19,34.1871638608679,"up"
"MMP16",3.22605791245088,0.350406646692566,10.6758153335006,8.7730594678865e-20,5.68732160451406e-19,34.1631311694584,"up"
"SCGB3A1",2.96079906559701,-2.72694185074916,10.6508458198744,1.01667693430928e-19,6.55333109047157e-19,34.161627078376,"up"
"ADAMTS10",2.07230243192192,2.82570955158711,10.7156645645299,6.93324902071634e-20,4.53307565103045e-19,34.1205893073503,"up"
"CD2",2.92804767191339,3.08342497357483,10.7031998170014,7.46298200230545e-20,4.87202256995405e-19,34.0612638747852,"up"
"C10orf67",-2.11265136693183,0.617607058487049,-10.6900382737159,8.06626188149835e-20,5.25191748449297e-19,34.0554180891596,"down"
"DNAH11",5.5194945127587,2.61843560086322,10.6681358967649,9.18006048830021e-20,5.93892301037535e-19,34.0253686814689,"up"
"IKZF3",2.73872527060215,2.43702644694154,10.6847439622525,8.32245642520217e-20,5.406456126787e-19,34.0131539078041,"up"
"SCN3A",-2.91754717605344,-0.836980144534057,-10.6571297165584,9.79647151380913e-20,6.32344421110701e-19,33.9836097761594,"down"
"TRIB3",3.68272590095127,3.59320122492087,10.689250488703,8.10387841357116e-20,5.27441462720709e-19,33.9697328801883,"up"
"ABCA4",-2.32815040212947,-0.15375702050295,-10.6610088070565,9.57463993507983e-20,6.18721570879877e-19,33.9593234936066,"down"
"CYP24A1",-4.79251326335505,1.00727632038106,-10.6858749496056,8.26705336527669e-20,5.37655170696027e-19,33.9315316413153,"down"
"ADAM18",4.96646715609808,-2.5943889542034,10.6099976495804,1.293919458916e-19,8.27752637875846e-19,33.9135105470573,"up"
"PADI1",6.00350375723446,-0.894457114255683,10.6005475123485,1.36813856881592e-19,8.73285334155213e-19,33.8346451588537,"up"
"CD300C",2.3551875105833,0.238760502689612,10.621667497047,1.20779218551888e-19,7.73229545321958e-19,33.8266772285529,"up"
"SLC10A6",3.12550036840565,-1.98323118065059,10.5945522751134,1.41741251411956e-19,9.04066559117015e-19,33.8176693680167,"up"
"CXCR3",2.90564096325223,0.18752900437721,10.6097293894331,1.2959698004558e-19,8.2875631927365e-19,33.7785467576695,"up"
"LINC02487",2.37438917400698,-1.7869805390047,10.5905555810737,1.45124127620063e-19,9.2495811069211e-19,33.7739654816675,"up"
"IFNG",3.49063594497164,-2.59193497645892,10.5739378979219,1.6007605814324e-19,1.01536821699922e-18,33.7084068720377,"up"
"ANO1",2.67372065256241,4.07546477454901,10.6583416639499,9.72661869585929e-20,6.28306719884494e-19,33.6630313675824,"up"
"SSPN",2.06378689845258,2.47710050291979,10.6259144886543,1.17788958753834e-19,7.54647162243115e-19,33.6284132220468,"up"
"SLC22A1",-2.24126576169378,-0.268840442822886,-10.6024730178048,1.35267894950364e-19,8.64378920404791e-19,33.6281168482843,"down"
"PIGR",-4.38277793589511,5.42975187082407,-10.6855345509631,8.2836894262911e-20,5.38533661154083e-19,33.6208291314727,"down"
"CD180",2.43999662962286,1.39881085048364,10.6008600664438,1.36561717198712e-19,8.7199924390795e-19,33.6101196046911,"up"
"ABTB3",-2.52581125517976,1.59214087444961,-10.6263337293978,1.1749781556714e-19,7.53314238434885e-19,33.5541279641922,"down"
"FAM225B",2.13714079681629,-0.762480781406835,10.5554399222629,1.78535582122337e-19,1.1274725041218e-18,33.5034880211315,"up"
"MUC12-AS1",3.1374367051937,-1.91685003199435,10.5387850146405,1.96967291355747e-19,1.2411390632098e-18,33.4904885988838,"up"
