"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CD28",1.1695351230558,0.7106692252927,5.10719553096828,1.06207665708503e-06,2.30243667695741e-06,4.31721148553997,"stable"
"LINC00996",1.14754237252186,-1.90238284946758,5.04787417547832,1.38159156973982e-06,2.96411999913646e-06,4.31386686547407,"stable"
"MIR100HG",-0.715670398015691,2.80161612230074,-5.19313267246734,7.23144416224522e-07,1.5917313802973e-06,4.31286064607704,"stable"
"GNB1L",0.662476110285349,0.782667367845134,5.11133348281576,1.04269514950729e-06,2.26212942643578e-06,4.30836711507195,"stable"
"PRIMA1",3.22842028741184,1.85244970589268,5.11159806360699,1.04146766801596e-06,2.26003603994641e-06,4.30508028537754,"up"
"COPG1",0.449618056073218,7.20460935053502,5.24544184439865,5.71192751398836e-07,1.26780340579306e-06,4.29414658351354,"stable"
"TBC1D20",0.262804889863195,5.54151103038582,5.24732123969833,5.66357246771246e-07,1.25739489336691e-06,4.2937447951914,"stable"
"APC2",0.572834272251508,1.5884311319245,5.1314426153453,9.53301300821878e-07,2.07525061882254e-06,4.29343679116598,"stable"
"CCL17",1.36857323970263,-1.19037697520415,5.05495920193167,1.33900141548021e-06,2.87597122488981e-06,4.28970133301266,"stable"
"RBM10",0.490368294966347,5.48514330906089,5.2429884586256,5.77565650016719e-07,1.28117924971602e-06,4.27997742069874,"stable"
"PPFIA2",-0.721012667955894,0.864515596923591,-5.11933243003759,1.00620004220351e-06,2.18736377402872e-06,4.2780783912083,"stable"
"GPR143",-1.4830577759273,1.74542204024198,-5.15399080945489,8.61925096210689e-07,1.88395639046052e-06,4.27497090602773,"stable"
"SS18",-0.267325959660467,6.12490858886053,-5.24393275408136,5.75104595066475e-07,1.27615694819146e-06,4.27466718148016,"stable"
"PRPF19",0.368455900270944,6.17507181432814,5.24315507476308,5.77130665040425e-07,1.28048774309459e-06,4.27018630586775,"stable"
"SURF4",-0.395713978637208,7.27922161933245,-5.23711205282743,5.93113179999764e-07,1.31408537885405e-06,4.26487536967867,"stable"
"MYO15A",0.944290196913224,-0.256982868333109,5.0726871747771,1.23794933594232e-06,2.66591166102665e-06,4.26342414769171,"stable"
"RN7SL832P",-0.940221607230096,-2.46247690205,-5.03791720134785,1.4436784596644e-06,3.09192892300604e-06,4.25889640969819,"stable"
"TRMO",-0.442739768479667,3.54369577520564,-5.20418877350058,6.88057819467716e-07,1.51741165284867e-06,4.25627355847766,"stable"
"CDHR1",2.93760135090129,1.42206218802333,5.09296664062021,1.1314339027576e-06,2.44663165883332e-06,4.25619251983618,"up"
"CIDEB",0.959189227222174,-1.37126766710502,5.04674458607814,1.38850245523094e-06,2.97820455604295e-06,4.25496756026592,"stable"
"RBM33",0.57196394192365,5.09046964856759,5.228790480085,6.15829586657671e-07,1.36231127400563e-06,4.23921139884252,"stable"
"PTPN7",1.03184261770739,2.75007894504295,5.15133542913749,8.72226177920798e-07,1.90550427067342e-06,4.23906950681315,"stable"
"TBC1D8",0.578892784831203,4.71705563491576,5.22078139579785,6.38492285989752e-07,1.40990824824443e-06,4.23430160128014,"stable"
"VPS33B-DT",0.913461731070688,-2.11506653535909,5.02564815436667,1.5239190859637e-06,3.25891516333728e-06,4.23070911876762,"stable"
"PDE7B",-0.684176025818414,3.53461509546907,-5.19899735206803,7.04321287217411e-07,1.5518867220591e-06,4.22610619567342,"stable"
"UBE2K",-0.301475833574893,5.97400996555574,-5.23169813456327,6.07797495670503e-07,1.34558048970778e-06,4.21996222708188,"stable"
"PPP1R2",-0.373864999509921,5.60071963919007,-5.23081283408332,6.10232176472496e-07,1.3504495330986e-06,4.21704858006457,"stable"
"PSD3",-0.710995016187339,2.09646052190322,-5.14124011354004,9.12494159835165e-07,1.98842872931169e-06,4.19853619855338,"stable"
"RPA1",0.363498062340509,5.82003645878845,5.22610052865259,6.23352321152654e-07,1.37789750978748e-06,4.19626369637,"stable"
"PLCD3",0.829763010435718,4.09078331618902,5.18976301892925,7.34180227780392e-07,1.61499011260407e-06,4.18477386064852,"stable"
"PSMD14",-0.499601958948199,5.47217797639402,-5.2230273907533,6.32056263759817e-07,1.39623361742914e-06,4.1846738205203,"stable"
"CCDC30",-0.496809585344388,3.28340652312308,-5.17871704730801,7.71518549160252e-07,1.69387728909498e-06,4.18276207018521,"stable"
"EPX",-0.946742939434456,-2.29028445157523,-5.0237034380922,1.53702931769459e-06,3.28491119852418e-06,4.18207339820669,"stable"
"TEDC2",0.994860913661108,-0.76346648887411,5.04146189812051,1.42127075576619e-06,3.04659146563503e-06,4.18059504172895,"stable"
"ZNG1E",-0.568974553105573,2.74952367626148,-5.15961753295564,8.40487012963056e-07,1.8384985931587e-06,4.17955220526457,"stable"
"LRCH3",0.384562449536117,4.52745870674591,5.20559730797371,6.83708678317183e-07,1.50801343974764e-06,4.17720308923623,"stable"
"RASL11A",-0.706545219436594,4.13232758170211,-5.20342939806677,6.90413714818727e-07,1.52241220707114e-06,4.17385573783108,"stable"
"SARNP",0.602351530347792,2.38228810732128,5.12902299308562,9.63649434043451e-07,2.09645204183723e-06,4.17334850507516,"stable"
"TLCD2",0.980716065503521,-1.23347935958557,5.02662345247026,1.51738512957255e-06,3.24574863389557e-06,4.15835256913363,"stable"
