"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"L3MBTL4-AS1",2.5829124762196,-0.774762012068074,18.1713778077294,3.70282852335455e-59,7.79279736013988e-58,123.802339916152,"up"
"C1orf127",2.65876153753075,-1.353435051696,18.1550117716779,4.48942762066611e-59,9.40394791916405e-58,123.629156926285,"up"
"LNCTAM34A",2.07092981724602,0.304186766500283,18.1593760078926,4.26466238799906e-59,8.94011946419318e-58,123.611498962075,"up"
"CCNA2",2.44941937309062,2.10032713149698,18.1627267763976,4.09974923350421e-59,8.6078681635642e-58,123.591956405069,"up"
"SLC38A4",-3.87192455489266,0.394972439312217,-18.1785553973144,3.40280850365913e-59,7.16701505106902e-58,123.520451879081,"down"
"MYO1F",2.79234173077523,4.94743744485849,18.1691418605265,3.80158094084883e-59,7.99435201459128e-58,123.472521238604,"up"
"TBX3",-2.07024088120903,3.31618273883387,-18.1860352179885,3.11595970872584e-59,6.57317952087782e-58,123.438662759027,"down"
"ANXA3",-3.12927223805007,2.70134963353942,-18.1817824773,3.27595114344878e-59,6.90525173413118e-58,123.390868279244,"down"
"FAM111B",2.67748440482324,1.76602854153456,18.1309419339259,5.95920279936696e-59,1.24437807988027e-57,123.241347405652,"up"
"AL031123.3",-2.51340323782612,-1.8723043132709,-18.1252958297377,6.36843966210887e-59,1.32776519611557e-57,123.163164701611,"down"
"ST8SIA4",3.6212776498711,5.37896430611893,18.1324441093655,5.85481802133142e-59,1.22353375516709e-57,123.069103101499,"up"
